"year_month","zip_code","accident_count","light_signal_based_complaint_open_less_than_1_week","road_infra_based_complaint_open_less_than_1_month","road_infra_based_complaint_open_less_than_1_week","light_signal_based_complaint_open_less_than_1_month","light_signal_based_complaint_open_a_month_or_more","road_infra_based_complaint_open_a_month_or_more","dep_infra_based_complaint_open_less_than_1_week","dep_infra_based_complaint_open_less_than_1_month","dep_infra_based_complaint_open_a_month_or_more"
2023-12-01,"11363",2,3,0,4,0,0,0,0,0,0
2023-12-01,"11364",14,15,0,17,0,3,1,0,0,0
2023-12-01,"11365",5,9,0,14,2,0,0,0,0,0
2023-12-01,"11366",11,6,0,15,0,0,0,0,0,0
2023-12-01,"11367",12,10,2,23,5,2,2,1,0,0
2023-12-01,"11368",45,25,0,20,2,5,1,0,0,0
2023-12-01,"11369",20,9,1,14,0,0,0,0,0,0
2023-12-01,"11370",12,12,1,12,2,1,0,0,0,0
2023-12-01,"11371",1,0,0,0,0,0,0,0,0,0
2023-12-01,"11372",37,27,2,23,3,0,0,0,0,0
2023-12-01,"11373",37,18,1,26,2,6,1,0,0,0
2023-12-01,"11374",8,7,1,7,2,1,0,0,0,0
2023-12-01,"11375",13,23,4,30,4,5,3,1,0,0
2023-12-01,"11377",34,20,2,29,3,3,2,0,0,0
2023-12-01,"11378",18,14,1,15,2,1,1,1,0,0
2023-12-01,"11379",17,33,1,27,3,4,0,0,0,0
2023-12-01,"11385",63,43,1,27,3,10,0,0,0,0
2023-12-01,"11411",12,4,2,11,0,0,0,0,0,0
2023-12-01,"11412",15,10,3,21,3,0,0,0,0,0
2023-12-01,"11413",20,20,1,25,2,2,0,0,0,0
2023-12-01,"11414",10,12,1,21,2,6,0,0,0,0
2023-12-01,"11415",5,8,0,7,1,0,0,0,0,0
2023-12-01,"11416",4,9,1,14,0,0,2,0,0,0
2023-12-01,"11417",15,8,6,21,0,1,0,0,0,0
2023-12-01,"11418",15,13,2,13,2,2,0,0,0,0
2023-12-01,"11419",14,16,1,10,1,4,0,0,0,0
2023-12-01,"11420",17,13,3,29,0,1,0,0,0,0
2023-12-01,"11421",19,9,1,5,2,0,0,0,0,0
2023-12-01,"11422",19,9,3,41,1,1,1,0,0,0
2023-12-01,"11423",18,15,1,15,0,2,0,0,0,0
2023-12-01,"11426",12,5,0,9,0,0,0,0,0,0
2023-12-01,"11427",8,15,0,13,1,0,3,0,0,0
2023-12-01,"11428",9,3,1,12,0,0,0,0,0,0
2023-12-01,"11429",9,7,3,29,1,0,0,0,0,0
2023-12-01,"11430",1,4,0,2,0,2,0,0,0,0
2023-12-01,"11432",36,13,1,32,2,2,1,0,0,0
2023-12-01,"11433",19,13,1,10,3,0,0,0,0,0
2023-12-01,"11434",32,26,1,17,2,4,0,0,0,0
2023-12-01,"11435",27,24,4,12,0,2,0,0,0,0
2023-12-01,"11436",13,3,1,4,0,0,0,0,0,0
2023-12-01,"11691",19,27,2,10,1,1,0,0,0,0
2023-12-01,"11692",3,7,0,1,1,0,0,0,0,0
2023-12-01,"11693",7,6,2,3,0,0,0,0,0,0
2023-12-01,"11694",3,10,2,6,2,0,0,0,0,0
2023-12-01,"10301",21,21,4,9,1,4,0,0,0,0
2023-12-01,"10304",22,12,0,16,0,1,0,0,0,0
2023-12-01,"10305",18,18,1,12,0,3,0,0,0,0
2023-12-01,"10306",24,26,0,33,0,2,0,0,0,0
2023-12-01,"10307",5,3,0,4,0,0,0,0,0,0
2023-12-01,"10308",6,5,0,10,0,0,0,0,0,0
2023-12-01,"10309",9,14,0,20,1,1,0,0,0,0
2023-12-01,"10310",14,4,0,18,0,0,0,0,0,0
2023-12-01,"10312",21,33,1,33,1,0,0,0,0,0
2023-12-01,"10314",12,30,3,34,1,2,2,0,0,0
2024-01-01,"10451",31,38,1,28,3,3,0,0,0,0
2024-01-01,"10452",18,28,1,18,3,1,0,0,0,0
2024-01-01,"10453",21,27,1,11,2,1,0,0,0,0
2024-01-01,"10454",20,18,0,12,7,3,0,0,0,0
2024-01-01,"10455",20,27,1,10,1,1,0,0,0,0
2024-01-01,"10456",26,38,0,12,2,4,0,0,0,0
2024-01-01,"10457",30,23,0,25,1,3,0,0,0,0
2024-01-01,"10458",37,32,0,21,1,2,0,0,0,0
2024-01-01,"10459",24,36,1,20,0,1,0,0,0,0
2024-01-01,"10460",35,33,0,13,5,2,0,0,0,0
2024-01-01,"10461",28,35,1,27,2,4,0,0,0,0
2024-01-01,"10462",29,29,3,32,5,6,0,0,0,0
2024-01-01,"10463",22,9,0,28,0,2,0,0,0,0
2024-01-01,"10464",2,6,0,16,0,0,0,0,0,0
2024-01-01,"10465",14,41,0,30,3,7,0,0,0,0
2024-01-01,"10466",32,27,1,14,4,2,0,0,0,0
2024-01-01,"10467",30,25,1,23,2,4,0,0,0,0
2024-01-01,"10468",33,11,1,26,3,4,0,0,0,0
2024-01-01,"10469",31,20,1,15,5,0,0,0,0,0
2024-01-01,"10470",18,13,0,4,0,0,0,0,0,0
2024-01-01,"10471",6,11,4,65,0,2,0,0,0,0
2024-01-01,"10472",25,18,0,12,2,4,0,0,0,0
2024-01-01,"10473",20,28,1,12,5,6,1,0,0,0
2024-01-01,"10474",27,13,0,14,1,1,0,0,0,0
2024-01-01,"10475",8,21,0,10,3,2,0,0,0,0
2024-01-01,"11201",50,78,7,53,5,12,0,0,0,0
2024-01-01,"11203",43,51,0,21,6,6,0,0,0,0
2024-01-01,"11204",42,45,1,13,1,7,0,0,0,0
2024-01-01,"11205",14,34,1,14,5,4,0,0,0,0
2024-01-01,"11206",40,51,0,28,1,7,1,0,0,0
2024-01-01,"11207",86,83,1,26,4,7,0,0,0,0
2024-01-01,"11208",64,58,0,8,0,8,0,0,0,0
2024-01-01,"11209",22,29,0,16,1,2,0,0,0,0
2024-01-01,"11210",29,32,0,13,1,4,0,0,0,0
2024-01-01,"11211",45,49,1,32,4,12,0,0,0,0
2024-01-01,"11212",47,67,0,15,4,6,0,0,0,0
2024-01-01,"11213",28,34,0,18,2,4,1,0,0,0
2024-01-01,"11214",33,55,0,26,2,6,0,0,0,0
2024-01-01,"11215",23,57,7,25,3,8,0,0,0,0
2024-01-01,"11216",16,36,1,21,0,3,0,0,0,0
2024-01-01,"11217",40,42,5,37,4,4,0,0,0,0
2024-01-01,"11218",32,57,0,39,0,9,0,0,0,0
2024-01-01,"11219",33,114,2,26,4,7,0,0,0,0
2024-01-01,"11220",54,83,0,25,1,2,0,0,0,0
2024-01-01,"11221",27,28,4,19,3,2,0,0,0,0
2024-01-01,"11222",25,25,6,43,2,2,1,0,0,0
2024-01-01,"11223",46,52,3,29,0,4,0,0,0,0
2024-01-01,"11224",10,15,0,16,1,1,0,0,0,0
2024-01-01,"11225",17,32,1,12,1,1,0,0,0,0
2024-01-01,"11226",45,56,1,18,3,4,0,0,0,0
2024-01-01,"11228",16,39,0,13,1,1,0,0,0,0
2024-01-01,"11229",31,50,5,19,0,3,1,0,0,0
2024-01-01,"11230",35,56,1,19,1,9,0,0,0,0
2024-01-01,"11231",18,24,11,19,1,2,1,0,0,0
2024-01-01,"11232",28,40,2,25,2,4,0,0,0,0
2024-01-01,"11233",52,55,0,18,3,4,0,0,0,0
2024-01-01,"11234",55,78,1,58,3,13,0,0,0,0
2024-01-01,"11235",38,24,0,27,1,9,1,0,0,0
2024-01-01,"11236",83,53,1,31,5,1,0,0,0,0
2024-01-01,"11237",15,18,2,15,1,1,0,0,0,0
2024-01-01,"11238",15,29,2,21,1,2,0,0,0,0
2024-01-01,"11239",5,13,0,3,1,0,2,0,0,0
2024-01-01,"11249",15,25,1,6,1,2,0,0,0,0
2024-01-01,"10000",1,13,0,1,1,5,0,0,0,0
2024-01-01,"10001",28,18,0,20,1,1,0,0,0,0
2024-01-01,"10002",33,47,2,26,1,3,0,0,0,0
2024-01-01,"10003",16,23,0,32,1,3,0,0,0,0
2024-01-01,"10004",5,10,0,10,0,1,0,0,0,0
2024-01-01,"10005",6,6,0,2,0,0,0,0,0,0
2024-01-01,"10006",1,0,0,3,0,0,0,0,0,0
2024-01-01,"10007",8,9,0,8,0,1,0,0,0,0
2024-01-01,"10009",8,32,0,6,1,1,0,0,0,0
2024-01-01,"10010",17,11,0,13,1,1,0,0,0,0
2024-01-01,"10011",20,27,1,22,0,4,0,0,0,0
2024-01-01,"10012",11,29,0,9,1,2,0,0,0,0
2024-01-01,"10013",28,26,1,19,0,2,0,0,0,0
2024-01-01,"10014",12,21,0,11,0,0,0,0,0,0
2024-01-01,"10016",26,26,0,35,0,2,0,0,0,0
2024-01-01,"10017",12,25,0,11,1,0,0,0,0,0
2024-01-01,"10018",15,21,0,7,1,0,1,0,0,0
2024-01-01,"10019",25,43,1,26,0,0,0,0,0,0
2024-01-01,"10021",9,11,0,20,0,1,0,0,0,0
2024-01-01,"10022",26,35,2,37,0,0,0,0,0,0
2024-01-01,"10023",7,17,4,15,1,1,0,0,0,0
2024-01-01,"10024",11,28,1,15,0,1,0,0,0,0
2024-01-01,"10025",14,39,0,24,1,4,0,0,0,0
2024-01-01,"10026",12,15,0,2,1,0,0,0,0,0
2024-01-01,"10027",22,28,0,15,1,0,0,0,0,0
2024-01-01,"10028",7,11,1,24,1,0,1,0,0,0
2024-01-01,"10029",36,24,1,18,1,7,0,0,0,0
2024-01-01,"10030",10,6,0,10,0,1,0,0,0,0
2024-01-01,"10031",12,36,1,8,1,6,0,0,0,0
2024-01-01,"10032",15,20,0,14,0,1,0,0,0,0
2024-01-01,"10033",22,34,0,12,1,3,0,0,0,0
2024-01-01,"10034",8,23,1,5,0,4,0,0,0,0
2024-01-01,"10035",21,52,0,13,0,2,0,0,0,0
2024-01-01,"10036",30,18,0,13,1,0,0,0,0,0
2024-01-01,"10037",5,10,0,2,1,0,0,0,0,0
2024-01-01,"10038",7,14,0,9,0,0,0,0,0,0
2024-01-01,"10039",8,8,0,2,0,0,0,0,0,0
2024-01-01,"10040",7,19,0,8,0,1,0,0,0,0
2024-01-01,"10065",10,24,0,24,0,1,4,0,0,0
2024-01-01,"10075",6,24,0,15,0,2,0,0,0,0
2024-01-01,"10128",16,23,0,14,0,3,1,0,0,0
2024-01-01,"10165",1,0,0,0,0,0,0,0,0,0
2024-01-01,"10278",1,4,0,0,0,1,0,0,0,0
2024-01-01,"10280",2,0,0,0,0,0,0,0,0,0
2024-01-01,"10281",1,0,0,0,0,0,0,0,0,0
2024-01-01,"11001",3,1,0,0,0,2,0,0,0,0
2024-01-01,"11004",4,10,0,5,0,4,0,0,0,0
2024-01-01,"11005",1,0,0,0,0,0,0,0,0,0
2024-01-01,"11101",53,77,13,59,3,12,0,0,0,0
2024-01-01,"11102",16,25,0,26,0,2,0,0,0,0
2024-01-01,"11103",24,18,0,6,0,1,0,0,0,0
2024-01-01,"11104",13,17,1,3,1,1,0,0,0,0
2024-01-01,"11105",18,30,1,12,2,1,0,0,0,0
2024-01-01,"11106",17,18,2,13,1,1,0,0,0,0
2024-01-01,"11354",31,32,6,35,2,6,0,0,0,0
2024-01-01,"11355",21,10,1,33,0,1,0,0,0,0
2024-01-01,"11356",15,8,0,15,0,2,0,0,0,0
2024-01-01,"11357",4,18,3,18,1,5,0,0,0,0
2024-01-01,"11358",16,12,2,32,2,1,0,0,0,0
2024-01-01,"11359",1,0,0,0,0,0,0,0,0,0
2024-01-01,"11360",5,1,1,8,0,0,0,0,0,0
2024-01-01,"11361",21,20,2,22,2,1,1,0,0,0
2024-01-01,"11362",4,14,1,21,1,1,1,0,0,0
2024-01-01,"11363",9,4,0,4,2,0,0,0,0,0
2024-01-01,"11364",6,26,1,9,3,5,0,0,0,0
2024-01-01,"11365",7,11,0,18,1,0,0,0,0,0
